From Type;From Name;Edge Type;To Type;To Name;Weight;Label
Station;Cardinal Lemoine;Métro 10;Station;Chardon Lagache;1;Métro 10
Station;Chardon Lagache;Métro 10;Station;Charles Michels;1;Métro 10
Station;Charles Michels;Métro 10;Station;Cluny - La Sorbonne;1;Métro 10
Station;Cluny - La Sorbonne;Métro 10;Station;Duroc;1;Métro 10
Station;Duroc;Métro 10;Station;Eglise d'Auteuil;1;Métro 10
Station;Eglise d'Auteuil;Métro 10;Station;Gare d'Austerlitz;1;Métro 10
Station;Gare d'Austerlitz;Métro 10;Station;Javel - André Citroën;1;Métro 10
Station;Javel - André Citroën;Métro 10;Station;Jussieu;1;Métro 10
Station;Jussieu;Métro 10;Station;La Motte-Picquet - Grenelle;1;Métro 10
Station;La Motte-Picquet - Grenelle;Métro 10;Station;Mabillon;1;Métro 10
Station;Mabillon;Métro 10;Station;Maubert - Mutualité;1;Métro 10
Station;Maubert - Mutualité;Métro 10;Station;Michel-Ange - Auteuil;1;Métro 10
Station;Michel-Ange - Auteuil;Métro 10;Station;Michel-Ange - Molitor;1;Métro 10
Station;Michel-Ange - Molitor;Métro 10;Station;Mirabeau;1;Métro 10
Station;Mirabeau;Métro 10;Station;Odéon;1;Métro 10
Station;Odéon;Métro 10;Station;Porte d'Auteuil;1;Métro 10
Station;Porte d'Auteuil;Métro 10;Station;Sèvres - Babylone;1;Métro 10
Station;Sèvres - Babylone;Métro 10;Station;Ségur;1;Métro 10
Station;Ségur;Métro 10;Station;Vaneau;1;Métro 10
Station;Arts et Métiers;Métro 11;Station;Belleville;1;Métro 11
Station;Belleville;Métro 11;Station;Châtelet;1;Métro 11
Station;Châtelet;Métro 11;Station;Coteaux Beauclair;1;Métro 11
Station;Coteaux Beauclair;Métro 11;Station;Goncourt;1;Métro 11
Station;Goncourt;Métro 11;Station;Hôtel de Ville;1;Métro 11
Station;Hôtel de Ville;Métro 11;Station;Jourdain;1;Métro 11
Station;Jourdain;Métro 11;Station;La Dhuys;1;Métro 11
Station;La Dhuys;Métro 11;Station;Mairie des Lilas;1;Métro 11
Station;Mairie des Lilas;Métro 11;Station;Montreuil - Hôpital;1;Métro 11
Station;Montreuil - Hôpital;Métro 11;Station;Place des Fêtes;1;Métro 11
Station;Place des Fêtes;Métro 11;Station;Porte des Lilas;1;Métro 11
Station;Porte des Lilas;Métro 11;Station;Pyrénées;1;Métro 11
Station;Pyrénées;Métro 11;Station;Rambuteau;1;Métro 11
Station;Rambuteau;Métro 11;Station;Romainville-Carnot;1;Métro 11
Station;Romainville-Carnot;Métro 11;Station;Rosny-Bois-Perrier;1;Métro 11
Station;Rosny-Bois-Perrier;Métro 11;Station;République;1;Métro 11
Station;République;Métro 11;Station;Serge Gainsbourg;1;Métro 11
Station;Serge Gainsbourg;Métro 11;Station;Télégraphe;1;Métro 11
Station;Abbesses;Métro 12;Station;Aimé Césaire;1;Métro 12
Station;Aimé Césaire;Métro 12;Station;Assemblée Nationale;1;Métro 12
Station;Assemblée Nationale;Métro 12;Station;Concorde;1;Métro 12
Station;Concorde;Métro 12;Station;Convention;1;Métro 12
Station;Convention;Métro 12;Station;Corentin Celton;1;Métro 12
Station;Corentin Celton;Métro 12;Station;Falguière;1;Métro 12
Station;Falguière;Métro 12;Station;Front Populaire;1;Métro 12
Station;Front Populaire;Métro 12;Station;Jules Joffrin;1;Métro 12
Station;Jules Joffrin;Métro 12;Station;Lamarck - Caulaincourt;1;Métro 12
Station;Lamarck - Caulaincourt;Métro 12;Station;Madeleine;1;Métro 12
