station1;station2;connected;ligne
Saint-Denis - Université;Saint-François-Xavier;True;Métro 13
Saint-François-Xavier;Saint-Lazare;True;Métro 13
Saint-Lazare;Varenne;True;Métro 13
Aéroport d'Orly;Bercy;True;Métro 14
Bercy;Bibliothèque François Mitterrand;True;Métro 14
Bibliothèque François Mitterrand;Chevilly-Larue (Marché International);True;Métro 14
Chevilly-Larue (Marché International);Châtelet;True;Métro 14
Châtelet;Cour Saint-Emilion;True;Métro 14
Cour Saint-Emilion;Gare de Lyon;True;Métro 14
Gare de Lyon;Hôpital Bicêtre;True;Métro 14
Hôpital Bicêtre;L'Haÿ-les-Roses;True;Métro 14
L'Haÿ-les-Roses;Madeleine;True;Métro 14
Madeleine;Mairie de Saint-Ouen;True;Métro 14
Mairie de Saint-Ouen;Maison Blanche;True;Métro 14
Maison Blanche;Olympiades;True;Métro 14
Olympiades;Pont Cardinet;True;Métro 14
Pont Cardinet;Porte de Clichy;True;Métro 14
Porte de Clichy;Pyramides;True;Métro 14
Pyramides;Saint-Denis - Pleyel;True;Métro 14
Saint-Denis - Pleyel;Saint-Lazare;True;Métro 14
Saint-Lazare;Saint-Ouen;True;Métro 14
Saint-Ouen;Thiais - Orly (Pont de Rungis);True;Métro 14
Achères Grand Cormier;Achères Ville;True;RER A
Achères Ville;Auber;True;RER A
Auber;Boissy-Saint-Léger;True;RER A
Boissy-Saint-Léger;Bry-sur-Marne;True;RER A
Bry-sur-Marne;Bussy-Saint-Georges;True;RER A
Bussy-Saint-Georges;Cergy Préfecture;True;RER A
Cergy Préfecture;Cergy Saint-Christophe;True;RER A
Cergy Saint-Christophe;Cergy le Haut;True;RER A
Cergy le Haut;Champigny;True;RER A
Champigny;Charles de Gaulle - Etoile;True;RER A
Charles de Gaulle - Etoile;Chatou - Croissy;True;RER A
Chatou - Croissy;Châtelet les Halles;True;RER A
Châtelet les Halles;Conflans Fin d'Oise;True;RER A
Conflans Fin d'Oise;Fontenay-sous-Bois;True;RER A
Fontenay-sous-Bois;Gare de Lyon;True;RER A
Gare de Lyon;Houilles - Carrières-sur-Seine;True;RER A
Houilles - Carrières-sur-Seine;Joinville-le-Pont;True;RER A
Joinville-le-Pont;La Défense;True;RER A
La Défense;La Varenne - Chennevières;True;RER A
La Varenne - Chennevières;Le Parc de Saint-Maur;True;RER A
Le Parc de Saint-Maur;Le Vésinet - Centre;True;RER A
Le Vésinet - Centre;Le Vésinet - Le Pecq;True;RER A
Le Vésinet - Le Pecq;Lognes;True;RER A
Lognes;Maisons-Laffitte;True;RER A
Maisons-Laffitte;Marne-la-Vallée Chessy;True;RER A
Marne-la-Vallée Chessy;Nanterre Préfecture;True;RER A
Nanterre Préfecture;Nanterre Université;True;RER A
Nanterre Université;Nanterre Ville;True;RER A
Nanterre Ville;Nation;True;RER A
Nation;Neuilly-Plaisance;True;RER A
Neuilly-Plaisance;Neuville Université;True;RER A
Neuville Université;Nogent-sur-Marne;True;RER A
Nogent-sur-Marne;Noisiel;True;RER A
Noisiel;Noisy - Champs;True;RER A
Noisy - Champs;Noisy-le-Grand - Mont d'Est;True;RER A
Noisy-le-Grand - Mont d'Est;Poissy;True;RER A
Poissy;Rueil-Malmaison;True;RER A
Rueil-Malmaison;Saint-Germain-en-Laye;True;RER A
Saint-Germain-en-Laye;Saint-Maur - Créteil;True;RER A
Saint-Maur - Créteil;Sartrouville;True;RER A
Sartrouville;Sucy - Bonneuil;True;RER A
Sucy - Bonneuil;Torcy;True;RER A
Torcy;Val d'Europe;True;RER A
Val d'Europe;Val de Fontenay;True;RER A
Val de Fontenay;Vincennes;True;RER A
Antony;Arcueil - Cachan;True;RER B
Arcueil - Cachan;Aulnay-sous-Bois;True;RER B
Aulnay-sous-Bois;Aéroport CDG 1 (Terminal 3) - RER;True;RER B
Aéroport CDG 1 (Terminal 3) - RER;Aéroport Charles de Gaulle 2 (Terminal 2);True;RER B
Aéroport Charles de Gaulle 2 (Terminal 2);Bagneux;True;RER B
Bagneux;Bourg-la-Reine;True;RER B
Bourg-la-Reine;Bures-sur-Yvette;True;RER B
Bures-sur-Yvette;Châtelet les Halles;True;RER B
Châtelet les Halles;Cité Universitaire;True;RER B
Cité Universitaire;Courcelle-sur-Yvette;True;RER B
Courcelle-sur-Yvette;Denfert-Rochereau;True;RER B
Denfert-Rochereau;Drancy;True;RER B
Drancy;Fontaine Michalon;True;RER B
Fontaine Michalon;Fontenay-aux-Roses;True;RER B
Fontenay-aux-Roses;Gare du Nord;True;RER B
Gare du Nord;Gentilly;True;RER B
Gentilly;Gif-sur-Yvette;True;RER B
Gif-sur-Yvette;La Courneuve - Aubervilliers;True;RER B
La Courneuve - Aubervilliers;La Croix de Berny;True;RER B
La Croix de Berny;La Hacquinière;True;RER B
La Hacquinière;La Plaine Stade de France;True;RER B
La Plaine Stade de France;Laplace;True;RER B
Laplace;Le Blanc-Mesnil;True;RER B
Le Blanc-Mesnil;Le Bourget;True;RER B
Le Bourget;Le Guichet;True;RER B
Le Guichet;Les Baconnets;True;RER B
Les Baconnets;Lozère;True;RER B
Lozère;Luxembourg;True;RER B
Luxembourg;Massy - Palaiseau;True;RER B
Massy - Palaiseau;Massy - Verrières;True;RER B
Massy - Verrières;Mitry - Claye;True;RER B
Mitry - Claye;Orsay Ville;True;RER B
Orsay Ville;Palaiseau;True;RER B
Palaiseau;Palaiseau - Villebon;True;RER B
Palaiseau - Villebon;Parc de Sceaux;True;RER B
Parc de Sceaux;Parc des Expositions;True;RER B
Parc des Expositions;Port Royal;True;RER B
Port Royal;Robinson;True;RER B
Robinson;Saint-Michel Notre-Dame;True;RER B
Saint-Michel Notre-Dame;Saint-Rémy-lès-Chevreuse;True;RER B
Saint-Rémy-lès-Chevreuse;Sceaux;True;RER B
Sceaux;Sevran - Livry;True;RER B
Sevran - Livry;Sevran Beaudottes;True;RER B
Sevran Beaudottes;Vert Galant;True;RER B
Vert Galant;Villeparisis - Mitry-le-Neuf;True;RER B
Villeparisis - Mitry-le-Neuf;Villepinte;True;RER B
Ablon;Arpajon;True;RER C
Arpajon;Athis-Mons;True;RER C
Athis-Mons;Avenue Foch;True;RER C
Avenue Foch;Avenue Henri Martin;True;RER C
Avenue Henri Martin;Avenue du Président Kennedy Maison de Radio France;True;RER C
Avenue du Président Kennedy Maison de Radio France;Bibliothèque François Mitterrand;True;RER C
Bibliothèque François Mitterrand;Bièvres;True;RER C
Bièvres;Boulainvilliers;True;RER C
Boulainvilliers;Bouray;True;RER C
Bouray;Breuillet - Bruyères-le-Châtel;True;RER C
Breuillet - Bruyères-le-Châtel;Breuillet Village;True;RER C
Breuillet Village;Brétigny;True;RER C
Brétigny;Cernay;True;RER C
Cernay;Champ de Mars Tour Eiffel;True;RER C
Champ de Mars Tour Eiffel;Chaville - Vélizy;True;RER C
Chaville - Vélizy;Chemin d'Antony;True;RER C
Chemin d'Antony;Choisy-le-Roi;True;RER C
Choisy-le-Roi;Dourdan;True;RER C
Dourdan;Dourdan la Forêt;True;RER C
Dourdan la Forêt;Egly;True;RER C
Egly;Epinay-sur-Orge;True;RER C
Epinay-sur-Orge;Epinay-sur-Seine;True;RER C
Epinay-sur-Seine;Ermont - Eaubonne;True;RER C
Ermont - Eaubonne;Etampes;True;RER C
Etampes;Etréchy;True;RER C
Etréchy;Franconville - Le Plessis-Bouchard;True;RER C
Franconville - Le Plessis-Bouchard;Gare d'Austerlitz;True;RER C
Gare d'Austerlitz;Gare de Chamarande;True;RER C
Gare de Chamarande;Gennevilliers;True;RER C
Gennevilliers;Igny;True;RER C
Igny;Invalides;True;RER C
Invalides;Issy;True;RER C
Issy;Issy Val de Seine;True;RER C
Issy Val de Seine;Ivry-sur-Seine;True;RER C
Ivry-sur-Seine;Javel;True;RER C
Javel;Jouy-en-Josas;True;RER C
Jouy-en-Josas;Juvisy;True;RER C
Juvisy;La Norville - Saint-Germain-lès-Arpajon;True;RER C
La Norville - Saint-Germain-lès-Arpajon;Lardy;True;RER C
Lardy;Les Ardoines;True;RER C
Les Ardoines;Les Grésillons;True;RER C
Les Grésillons;Les Saules;True;RER C
Les Saules;Marolles-en-Hurepoix;True;RER C
Marolles-en-Hurepoix;Massy - Palaiseau;True;RER C
Massy - Palaiseau;Massy - Verrières;True;RER C
Massy - Verrières;Meudon Val Fleury;True;RER C
Meudon Val Fleury;Montigny - Beauchamp;True;RER C
Montigny - Beauchamp;Musée d'Orsay;True;RER C
Musée d'Orsay;Neuilly Porte Maillot;True;RER C
Neuilly Porte Maillot;Orly Ville;True;RER C
Orly Ville;Petit Jouy Les Loges;True;RER C
Petit Jouy Les Loges;Pierrelaye;True;RER C
Pierrelaye;Pont de Rungis Aéroport d'Orly;True;RER C
Pont de Rungis Aéroport d'Orly;Pont de l'Alma;True;RER C
Pont de l'Alma;Pont du Garigliano - Hôpital Européen G. Pompidou;True;RER C
Pont du Garigliano - Hôpital Européen G. Pompidou;Pontoise;True;RER C
Pontoise;Porchefontaine;True;RER C
Porchefontaine;Porte de Clichy;True;RER C
Porte de Clichy;Péreire Levallois;True;RER C
Péreire Levallois;Rungis la Fraternelle;True;RER C
Rungis la Fraternelle;Saint-Chéron;True;RER C
Saint-Chéron;Saint-Cyr;True;RER C
Saint-Cyr;Saint-Gratien;True;RER C
Saint-Gratien;Saint-Martin d'Etampes;True;RER C
Saint-Martin d'Etampes;Saint-Michel Notre-Dame;True;RER C
Saint-Michel Notre-Dame;Saint-Michel-sur-Orge;True;RER C
Saint-Michel-sur-Orge;Saint-Ouen;True;RER C
Saint-Ouen;Saint-Ouen-l'Aumône;True;RER C
Saint-Ouen-l'Aumône;Saint-Ouen-l'Aumône Liesse;True;RER C
Saint-Ouen-l'Aumône Liesse;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;True;RER C
Saint-Quentin en Yvelines - Montigny-le-Bretonneux;Sainte-Geneviève-des-Bois;True;RER C
